# Table format: 1D
     8.00000000000000e+01      0.00000000000000e+00
     9.00000000000000e+01      5.00000000000000e+00
     1.00000000000000e+02      1.60000000000000e+01
     1.10000000000000e+02      4.00000000000000e+01
     1.20000000000000e+02      6.50000000000000e+01
     1.30000000000000e+02      1.00000000000000e+02
     1.40000000000000e+02      1.30000000000000e+02
     1.50000000000000e+02      1.60000000000000e+02
     1.60000000000000e+02      1.70000000000000e+02
     1.70000000000000e+02      1.80000000000000e+02
     1.80000000000000e+02      1.87000000000000e+02
